Tissue	Assession
dentategyrus	GSM1258232
dentategyrus	GSM1262122
dentategyrus	GSM1258234
dentategyrus	GSM1262123
dentategyrus	GSM1835442
dentategyrus	GSM1835415
dentategyrus	GSM1835446
dentategyrus	GSM1835463
dentategyrus	GSM1835441
dentategyrus	GSM1835435
dentategyrus	GSM1835368
dentategyrus	GSM1835389
dentategyrus	GSM1835412
dentategyrus	GSM1835390
dentategyrus	GSM1835373
dentategyrus	GSM1835514
dentategyrus	GSM1835461
dentategyrus	GSM1835400
dentategyrus	GSM1835464
dentategyrus	GSM1835424
dentategyrus	GSM1835479
dentategyrus	GSM1835518
dentategyrus	GSM1835531
dentategyrus	GSM1835481
dentategyrus	GSM1835382
dentategyrus	GSM1835519
dentategyrus	GSM1835437
dentategyrus	GSM1835501
dentategyrus	GSM1835391
dentategyrus	GSM1835363
dentategyrus	GSM1835468
dentategyrus	GSM1835503
dentategyrus	GSM1835462
dentategyrus	GSM1835521
dentategyrus	GSM1835526
dentategyrus	GSM1835451
dentategyrus	GSM1835431
dentategyrus	GSM1835420
dentategyrus	GSM1835386
dentategyrus	GSM1835401
dentategyrus	GSM1835388
dentategyrus	GSM1835474
dentategyrus	GSM1835395
dentategyrus	GSM1835457
dentategyrus	GSM1835512
dentategyrus	GSM1835444
dentategyrus	GSM1835432
dentategyrus	GSM1835510
dentategyrus	GSM1835507
dentategyrus	GSM1835517
dentategyrus	GSM1835403
dentategyrus	GSM1835493
dentategyrus	GSM1835453
dentategyrus	GSM1835509
dentategyrus	GSM1835369
dentategyrus	GSM1835429
dentategyrus	GSM1835439
dentategyrus	GSM1835492
dentategyrus	GSM1835498
dentategyrus	GSM1835405
dentategyrus	GSM1835409
dentategyrus	GSM1835445
dentategyrus	GSM1835499
dentategyrus	GSM1835417
dentategyrus	GSM1835396
dentategyrus	GSM1835380
dentategyrus	GSM1835383
dentategyrus	GSM1835454
dentategyrus	GSM1835528
dentategyrus	GSM1835421
dentategyrus	GSM1835427
dentategyrus	GSM1835365
dentategyrus	GSM1835443
dentategyrus	GSM1835460
dentategyrus	GSM1835467
dentategyrus	GSM1835448
dentategyrus	GSM1835404
dentategyrus	GSM1835394
dentategyrus	GSM1835372
dentategyrus	GSM1835376
dentategyrus	GSM1835470
dentategyrus	GSM1835449
dentategyrus	GSM1835506
dentategyrus	GSM1835414
dentategyrus	GSM1835530
dentategyrus	GSM1835488
dentategyrus	GSM1835465
dentategyrus	GSM1835366
dentategyrus	GSM1835392
dentategyrus	GSM1835475
dentategyrus	GSM1835472
dentategyrus	GSM1835495
dentategyrus	GSM1835397
dentategyrus	GSM1835425
dentategyrus	GSM1835500
dentategyrus	GSM1835491
dentategyrus	GSM1835371
dentategyrus	GSM1835480
dentategyrus	GSM1835490
dentategyrus	GSM1835473
dentategyrus	GSM1835393
dentategyrus	GSM1835513
dentategyrus	GSM1835452
dentategyrus	GSM1835486
dentategyrus	GSM1835384
dentategyrus	GSM1835487
dentategyrus	GSM1835362
dentategyrus	GSM1835398
dentategyrus	GSM1835438
dentategyrus	GSM1835455
dentategyrus	GSM1835434
dentategyrus	GSM1835483
dentategyrus	GSM1835406
dentategyrus	GSM1835410
dentategyrus	GSM1835450
dentategyrus	GSM1835508
dentategyrus	GSM1835478
dentategyrus	GSM1835502
dentategyrus	GSM1835387
dentategyrus	GSM1835418
dentategyrus	GSM1835469
dentategyrus	GSM1835377
dentategyrus	GSM1835422
dentategyrus	GSM1835419
dentategyrus	GSM1835408
dentategyrus	GSM1835477
dentategyrus	GSM1835529
dentategyrus	GSM1835471
dentategyrus	GSM1835381
dentategyrus	GSM1835515
dentategyrus	GSM1835458
dentategyrus	GSM1835485
dentategyrus	GSM1835428
dentategyrus	GSM1835370
dentategyrus	GSM1835459
dentategyrus	GSM1835399
dentategyrus	GSM1835525
dentategyrus	GSM1835532
dentategyrus	GSM1835520
dentategyrus	GSM1835360
dentategyrus	GSM1835402
dentategyrus	GSM1835466
dentategyrus	GSM1835436
dentategyrus	GSM1835440
dentategyrus	GSM1835516
dentategyrus	GSM1835484
dentategyrus	GSM1835364
dentategyrus	GSM1835505
dentategyrus	GSM1835496
dentategyrus	GSM1835407
dentategyrus	GSM1835497
dentategyrus	GSM1835476
dentategyrus	GSM1835379
dentategyrus	GSM1835447
dentategyrus	GSM1835423
dentategyrus	GSM1835524
dentategyrus	GSM1835523
dentategyrus	GSM1835411
dentategyrus	GSM1835522
dentategyrus	GSM1835374
dentategyrus	GSM1835375
dentategyrus	GSM1835413
dentategyrus	GSM1835430
dentategyrus	GSM1835504
dentategyrus	GSM1835361
dentategyrus	GSM1835527
dentategyrus	GSM1835456
dentategyrus	GSM1835494
dentategyrus	GSM1835385
dentategyrus	GSM1835378
dentategyrus	GSM1835367
dentategyrus	GSM1835482
dentategyrus	GSM1835511
dentategyrus	GSM1835416
dentategyrus	GSM1835489
dentategyrus	GSM1835426
dentategyrus	GSM1835433
frontalcortex	GSM1173810
frontalcortex	GSM1811338
frontalcortex	GSM1860604
frontalcortex	GSM1811335
frontalcortex	GSM1173820
frontalcortex	GSM1860607
frontalcortex	GSM1173813
frontalcortex	GSM1173811
frontalcortex	GSM1333373
frontalcortex	GSM1540408
frontalcortex	GSM1811328
frontalcortex	GSM1173809
frontalcortex	GSM1860649
frontalcortex	GSM1540424
frontalcortex	GSM1173821
frontalcortex	GSM1860646
frontalcortex	GSM1860599
frontalcortex	GSM1860644
frontalcortex	GSM1173819
frontalcortex	GSM1811336
frontalcortex	GSM1860642
frontalcortex	GSM1860603
frontalcortex	GSM1860554
frontalcortex	GSM1173825
frontalcortex	GSM1540417
frontalcortex	GSM1540421
frontalcortex	GSM1173829
frontalcortex	GSM1173817
frontalcortex	GSM1540457
frontalcortex	GSM1860601
frontalcortex	GSM1811333
frontalcortex	GSM1860552
frontalcortex	GSM1173827
frontalcortex	GSM1811329
frontalcortex	GSM1860645
frontalcortex	GSM1540410
frontalcortex	GSM1540407
frontalcortex	GSM1811332
frontalcortex	GSM1540423
frontalcortex	GSM1540419
frontalcortex	GSM1811337
frontalcortex	GSM1811334
frontalcortex	GSM1860602
frontalcortex	GSM1860558
frontalcortex	GSM1173815
frontalcortex	GSM1173812
frontalcortex	GSM1540445
frontalcortex	GSM1860600
frontalcortex	GSM1540418
frontalcortex	GSM1860553
frontalcortex	GSM1860606
frontalcortex	GSM1860647
frontalcortex	GSM1540406
frontalcortex	GSM1540420
frontalcortex	GSM1811330
frontalcortex	GSM1811339
frontalcortex	GSM1173824
frontalcortex	GSM1860608
frontalcortex	GSM1860648
frontalcortex	GSM1173826
frontalcortex	GSM1860641
frontalcortex	GSM1173828
frontalcortex	GSM1860562
frontalcortex	GSM1860643
frontalcortex	GSM1173814
frontalcortex	GSM1540422
frontalcortex	GSM1860556
frontalcortex	GSM1860559
frontalcortex	GSM1540405
frontalcortex	GSM1333372
frontalcortex	GSM1860555
frontalcortex	GSM1540409
frontalcortex	GSM1811331
frontalcortex	GSM1860560
frontalcortex	GSM1173822
frontalcortex	GSM1540449
frontalcortex	GSM1860610
frontalcortex	GSM1860605
frontalcortex	GSM1173818
frontalcortex	GSM1173823
frontalcortex	GSM1860561
frontalcortex	GSM1860609
frontalcortex	GSM1173816
frontalcortex	GSM1540411
frontalcortex	GSM1540412
frontalcortex	GSM1860557
frontalcortex	GSM1540453
frontalcortex	GSM1860563
hippocampus	GSM1860571
hippocampus	GSM1517294
hippocampus	GSM1606014
hippocampus	GSM1606011
hippocampus	GSM1599944
hippocampus	GSM1860574
hippocampus	GSM1860575
hippocampus	GSM1606013
hippocampus	GSM1860655
hippocampus	GSM1366260
hippocampus	GSM1685051
hippocampus	GSM1860570
hippocampus	GSM1529484
hippocampus	GSM1520030
hippocampus	GSM1857422
hippocampus	GSM1685048
hippocampus	GSM1881029
hippocampus	GSM1709238
hippocampus	GSM1268921
hippocampus	GSM1520031
hippocampus	GSM1599950
hippocampus	GSM1599946
hippocampus	GSM1860569
hippocampus	GSM2108080
hippocampus	GSM1599945
hippocampus	GSM1860622
hippocampus	GSM1532292
hippocampus	GSM1685050
hippocampus	GSM1860653
hippocampus	GSM1548242
hippocampus	GSM2108085
hippocampus	GSM1606019
hippocampus	GSM1268919
hippocampus	GSM1532294
hippocampus	GSM1606017
hippocampus	GSM1958297
hippocampus	GSM1532293
hippocampus	GSM1860525
hippocampus	GSM1606016
hippocampus	GSM1333371
hippocampus	GSM1520033
hippocampus	GSM1606006
hippocampus	GSM1881028
hippocampus	GSM1685046
hippocampus	GSM1860652
hippocampus	GSM1606012
hippocampus	GSM1599954
hippocampus	GSM1529480
hippocampus	GSM1860611
hippocampus	GSM1517298
hippocampus	GSM1958302
hippocampus	GSM1860617
hippocampus	GSM1532298
hippocampus	GSM1268918
hippocampus	GSM1860519
hippocampus	GSM1548245
hippocampus	GSM2108087
hippocampus	GSM1520028
hippocampus	GSM1685053
hippocampus	GSM1548238
hippocampus	GSM1685045
hippocampus	GSM1333370
hippocampus	GSM1860621
hippocampus	GSM1958282
hippocampus	GSM1520032
hippocampus	GSM1599952
hippocampus	GSM1517299
hippocampus	GSM1520029
hippocampus	GSM1606020
hippocampus	GSM1599951
hippocampus	GSM1532295
hippocampus	GSM1529475
hippocampus	GSM1709245
hippocampus	GSM1532291
hippocampus	GSM1540458
hippocampus	GSM1517293
hippocampus	GSM1606010
hippocampus	GSM1709244
hippocampus	GSM1860657
hippocampus	GSM1857425
hippocampus	GSM1529483
hippocampus	GSM1860573
hippocampus	GSM1606008
hippocampus	GSM1860613
hippocampus	GSM1606018
hippocampus	GSM1860650
hippocampus	GSM1517301
hippocampus	GSM1529478
hippocampus	GSM2108081
hippocampus	GSM1860614
hippocampus	GSM1860523
hippocampus	GSM1548241
hippocampus	GSM1860615
hippocampus	GSM1606005
hippocampus	GSM1268923
hippocampus	GSM1532296
hippocampus	GSM1548239
hippocampus	GSM1268924
hippocampus	GSM2108083
hippocampus	GSM1366269
hippocampus	GSM1529482
hippocampus	GSM1517296
hippocampus	GSM1548240
hippocampus	GSM1268917
hippocampus	GSM1860616
hippocampus	GSM1860618
hippocampus	GSM1958284
hippocampus	GSM1548243
hippocampus	GSM1548249
hippocampus	GSM1548244
hippocampus	GSM1606015
hippocampus	GSM1881027
hippocampus	GSM1881030
hippocampus	GSM1860651
hippocampus	GSM1517300
hippocampus	GSM1685047
hippocampus	GSM1268920
hippocampus	GSM1599949
hippocampus	GSM1599948
hippocampus	GSM1860567
hippocampus	GSM2108084
hippocampus	GSM1268916
hippocampus	GSM1532297
hippocampus	GSM1709239
hippocampus	GSM1857423
hippocampus	GSM1548248
hippocampus	GSM1860521
hippocampus	GSM1540454
hippocampus	GSM1860524
hippocampus	GSM1548246
hippocampus	GSM1860564
hippocampus	GSM1529481
hippocampus	GSM1548247
hippocampus	GSM1606007
hippocampus	GSM1860654
hippocampus	GSM1517292
hippocampus	GSM2108082
hippocampus	GSM1860526
hippocampus	GSM1958279
hippocampus	GSM1860656
hippocampus	GSM1685043
hippocampus	GSM1517291
hippocampus	GSM1517297
hippocampus	GSM1268922
hippocampus	GSM1517288
hippocampus	GSM1860566
hippocampus	GSM1529476
hippocampus	GSM1860658
hippocampus	GSM1709240
hippocampus	GSM1517295
hippocampus	GSM1958304
hippocampus	GSM1517304
hippocampus	GSM1685044
hippocampus	GSM1958299
hippocampus	GSM1517302
hippocampus	GSM1529485
hippocampus	GSM1268915
hippocampus	GSM1599947
hippocampus	GSM1548252
hippocampus	GSM1685054
hippocampus	GSM1860522
hippocampus	GSM1540450
hippocampus	GSM1857424
hippocampus	GSM1529474
hippocampus	GSM1529477
hippocampus	GSM1860565
hippocampus	GSM1685049
hippocampus	GSM1548250
hippocampus	GSM1860620
hippocampus	GSM1599943
hippocampus	GSM2108086
hippocampus	GSM1540446
hippocampus	GSM1860572
hippocampus	GSM1860612
hippocampus	GSM1520034
hippocampus	GSM1599953
hippocampus	GSM1517290
hippocampus	GSM1709246
hippocampus	GSM1606009
hippocampus	GSM1517289
hippocampus	GSM1520027
hippocampus	GSM1529479
hippocampus	GSM1860568
hippocampus	GSM1685052
hippocampus	GSM1548251
hippocampus	GSM1860520
hippocampus	GSM1517303
hippocampus	GSM1520026
hippocampus	GSM1860619
hippocampus	GSM1958286
hippocampus	GSM1835442
hippocampus	GSM1835415
hippocampus	GSM1835446
hippocampus	GSM1468807
hippocampus	GSM1835463
hippocampus	GSM1835441
hippocampus	GSM1835435
hippocampus	GSM1835368
hippocampus	GSM1835389
hippocampus	GSM1835412
