Color	Gene	Number
yellow	Cyp2a4	4
blue	Cyp2a5	2
yellow	Cyp2ab1	4
darkgrey	Cyp2b19	24
yellow	Cyp2c37	4
purple	Cyp2c38	10
yellow	Cyp2c44	4
brown	Cyp2c50	3
turquoise	Cyp2c55	1
turquoise	Cyp2c66	1
brown	Cyp2c70	3
blue	Cyp2d10	2
turquoise	Cyp2d13	1
black	Cyp2d9	7
tan	Cyp2e1	12
yellow	Cyp2f2	4
magenta	Cyp2g1	9
blue	Cyp2j11	2
turquoise	Cyp2j5	1
black	Cyp2j6	7
pink	Cyp2j9	8
turquoise	Cyp2r1	1
turquoise	Cyp2s1	1
turquoise	Cyp2t4	1
lightgreen	Cyp2u1	18
turquoise	Cyp39a1	1
tan	Cyp3a11	12
turquoise	Cyp3a13	1
turquoise	Cyp3a25	1
green	Cyp46a1	5
turquoise	Cyp4a10	1
violet	Cyp4a12a	32
magenta	Cyp4a14	9
cyan	Cyp4a28-ps	14
turquoise	Cyp4f14	1
red	Cyp4f15	6
blue	Cyp4f16	2
blue	Cyp4f17	2
greenyellow	Cyp4f18	11
darkolivegreen	Cyp4f39	33
skyblue	Cyp4f41-ps	28
magenta	Cyp4v3	9
black	Cyp51	7
magenta	Cyp7a1	9
brown	Cyp7b1	3
yellow	Cyp8b1	4
brown	Cypt1	3
greenyellow	Cypt12	11
turquoise	Cypt3	1
blue	Cypt4	2
salmon	Cyr61	13
greenyellow	Cys1	11
turquoise	Cysltr1	1
blue	Cysltr2	2
turquoise	Cysrt1	1
black	Cystm1	7
cyan	Cyth1	14
yellow	Cyth2	4
purple	Cyth3	10
turquoise	Cyth4	1
turquoise	Cytip	1
darkgrey	Cytl1	24
turquoise	Cyyr1	1
magenta	D030018L15Rik	9
cyan	D030022P06Rik	14
turquoise	D030024E09Rik	1
blue	D030034H08	2
yellow	D030040B21Rik	4
brown	D030040J03Rik	3
royalblue	D030044L04Rik	20
lightgreen	D030056L22Rik	18
purple	D030059C06Rik	10
turquoise	D030063F01Rik	1
turquoise	D030072B18Rik	1
yellowgreen	D10Bwg1379e	36
black	D10Jhu81e	7
turquoise	D10Wsu102e	1
turquoise	D11Ertd759e	1
green	D11Wsu47e	5
blue	D130007C19Rik	2
brown	D130009I18Rik	3
turquoise	D130012J16Rik	1
blue	D130023B06Rik	2
yellow	D130032N22Rik	4
yellow	D130037M23Rik	4
brown	D130040H23Rik	3
blue	D130043K22Rik	2
turquoise	D130047A11Rik	1
turquoise	D130051D11Rik	1
brown	D130051O21Rik	3
