Color	Gene	Number
darkgrey	Enkd1	24
mediumpurple2	Enkur	69
sienna3	Eno1	35
royalblue	Eno2	20
cyan	Eno3	14
lightcoral	Eno4	71
lightyellow	Enoph1	19
darkolivegreen	Enox1	33
greenyellow	Enox2	11
sienna4	Enpep	95
purple	Enpp1	10
turquoise	Enpp2	1
coral1	Enpp3	60
lavenderblush3	Enpp4	57
thistle2	Enpp5	50
steelblue	Enpp6	30
darkorange2	Enpp7	45
salmon	Ensa	13
plum	Enthd2	67
indianred3	Entpd1	101
pink	Entpd2	8
magenta	Entpd3	9
salmon	Entpd4	13
darkolivegreen	Entpd5	33
floralwhite	Entpd6	44
skyblue	Entpd7	28
blue	Entpd8	2
blue	Eny2	2
darkseagreen3	Eogt	88
darkmagenta	Eomes	34
lightcyan1	Ep300	42
plum1	Ep400	38
tan	Epas1	12
darkolivegreen	Epb4	33
grey60	Epb4l1	17
brown	Epb4l2	3
yellow	Epb4l3	4
coral1	Epb4l4a	60
tan	Epb4l4b	12
pink	Epb4l5	8
salmon4	Epc1	52
plum3	Epc2	78
red	Epcam	6
yellow	Epdr1	4
antiquewhite2	Epg5	90
magenta4	Epgn	84
brown	Epha1	3
royalblue	Epha10	20
brown	Epha2	3
steelblue	Epha3	30
deeppink	Epha4	106
red	Epha5	6
grey60	Epha6	17
pink	Epha7	8
white	Epha8	27
darkolivegreen	Ephb1	33
skyblue	Ephb2	28
red	Ephb3	6
yellow	Ephb4	4
yellow	Ephb6	4
honeydew1	Ephx1	58
yellow	Ephx2	4
honeydew	Ephx3	87
darkseagreen3	Ephx4	88
grey60	Epm2a	17
red	Epm2aip1	6
sienna3	Epn1	35
yellowgreen	Epn2	36
greenyellow	Epn3	11
plum3	Epo	78
firebrick4	Epor	73
orangered1	Eppin	97
brown2	Eppk1	75
purple	Eprs	10
orangered4	Eps15	39
indianred4	Eps15l1	72
orange	Eps8	25
palevioletred3	Eps8l1	53
honeydew1	Eps8l2	58
darkmagenta	Eps8l3	34
cyan	Epsti1	14
purple	Ept1	10
darkgrey	Epx	24
darkolivegreen4	Epyc	74
mediumpurple3	Eqtn	40
yellow	Eral1	4
lightpink4	Erap1	56
mediumpurple3	Eras	40
orangered4	Erbb2	39
purple	Erbb2ip	10
darkgreen	Erbb3	22
coral	Erbb4	89
honeydew	Erc1	87
sienna4	Erc2	95
violet	Ercc1	32
cyan	Ercc2	14
darkolivegreen4	Ercc3	74
yellow	Ercc4	4
navajowhite1	Ercc5	83
blue	Ercc6l	2
greenyellow	Ercc6l2	11
yellow3	Ercc8	94
violet	Erdr1	32
darkmagenta	Ereg	34
salmon2	Erf	81
thistle	Erg	80
plum2	Ergic1	49
lightgreen	Ergic2	18
lightyellow	Ergic3	19
red	Erh	6
bisque4	Eri1	47
brown2	Eri2	75
brown	Erich1	3
saddlebrown	Erich3	29
violet	Erich5	32
red	Erich6	6
darkturquoise	Erlec1	23
violet	Erlin1	32
navajowhite1	Erlin2	83
bisque4	Ermap	47
tan	Ermard	12
firebrick4	Ermn	73
floralwhite	Ermp1	44
antiquewhite4	Ern1	61
indianred4	Ern2	72
turquoise	Ero1l	1
sienna3	Ero1lb	35
blue	Erp27	2
orangered3	Erp29	68
orangered3	Erp44	68
saddlebrown	Errfi1	29
firebrick3	Erv3	102
navajowhite1	Esam	83
lightgreen	Esco1	18
darkgreen	Esco2	22
orangered3	Esd	68
pink	Esf1	8
blue	Esm1	2
skyblue	Esp6	28
red	Espl1	6
lightpink4	Espnl	56
turquoise	Esr1	1
skyblue1	Esr2	66
grey60	Esrp1	17
navajowhite2	Esrp2	54
salmon	Esrra	13
lightcyan	Esrrb	16
brown	Esrrg	3
brown	Esx1	3
blue	Esyt1	2
royalblue	Esyt2	20
darkred	Esyt3	21
darkolivegreen4	Etaa1	74
greenyellow	Etd	11
darkolivegreen2	Etf1	103
grey60	Etfa	17
brown2	Etfb	75
green	Etfdh	5
antiquewhite2	Ethe1	90
skyblue	Etl4	28
thistle4	Etnk1	108
saddlebrown	Etnk2	29
orange	Etnppl	25
steelblue	Etos1	30
green4	Ets1	116
red	Ets2	6
royalblue	Etv1	20
turquoise	Etv2	1
thistle	Etv3	80
blue	Etv4	2
red	Etv5	6
magenta	Etv6	9
pink	Eva1a	8
saddlebrown	Eva1b	29
darkmagenta	Eva1c	34
yellow	Evc	4
purple	Evc2	10
lavenderblush2	Evi2a	86
red	Evi2b	6
salmon	Evi5	13
ivory	Evi5l	43
black	Evl	7
darkturquoise	Evpl	23
magenta3	Evx1	113
plum	Evx2	67
greenyellow	Ewsr1	11
bisque4	Exd1	47
purple	Exd2	10
lightcyan1	Exo5	42
darkturquoise	Exoc1	23
royalblue	Exoc2	20
blue	Exoc3	2
tan	Exoc3l	12
yellowgreen	Exoc3l2	36
green	Exoc3l4	5
firebrick3	Exoc4	102
yellow	Exoc5	4
pink	Exoc6	8
sienna3	Exoc6b	35
lavenderblush3	Exoc7	57
black	Exoc8	7
turquoise	Exog	1
brown	Exosc1	3
magenta	Exosc10	9
darkturquoise	Exosc2	23
pink	Exosc3	8
lightslateblue	Exosc4	99
grey60	Exosc5	17
thistle1	Exosc6	51
darkorange2	Exosc7	45
lightsteelblue1	Exosc8	41
magenta4	Exosc9	84
green	Exph5	5
lightcyan1	Ext1	42
violet	Ext2	32
brown	Extl1	3
violet	Extl2	32
skyblue3	Extl3	37
navajowhite2	Eya1	54
indianred3	Eya2	101
purple	Eya3	10
cyan	Eya4	14
plum2	Ezh1	49
plum	Ezh2	67
darkolivegreen4	Ezr	74
skyblue2	F10	64
blue4	F11	105
darkred	F11r	21
lightyellow	F13a1	19
turquoise	F13b	1
green	F2	5
grey60	F2r	17
darkseagreen3	F2rl1	88
green	F2rl2	5
lightsteelblue1	F2rl3	41
darkolivegreen	F3	33
coral3	F430010L17Rik	91
palevioletred1	F430115D03Rik	111
greenyellow	F430201E05Rik	11
brown	F430209L04Rik	3
ivory	F430212H09Rik	43
blue	F5	2
magenta	F530002G13Rik	9
palevioletred2	F530007B04Rik	82
brown	F530110H13Rik	3
darkorange	F530204I15Rik	26
turquoise	F530213H18Rik	1
pink4	F630006H17Rik	96
cyan	F630008L08Rik	14
sienna3	F630015J07Rik	35
turquoise	F630018C04Rik	1
royalblue	F630018O14Rik	20
brown	F630025H21Rik	3
mediumpurple3	F630028O10Rik	40
darkorange2	F630040K05Rik	45
orangered4	F630045J19Rik	39
lightgreen	F630049H13Rik	18
brown	F630050F06Rik	3
orangered3	F630102L10Rik	68
darkorange2	F630111L10Rik	45
sienna4	F630113I08Rik	95
royalblue	F630119A15Rik	20
ivory	F630201J21Rik	43
plum1	F630306D02Rik	38
antiquewhite4	F7	61
blue	F730011J02	2
firebrick4	F730015K02Rik	73
brown	F730035P03Rik	3
darkslateblue	F730043M19Rik	48
darkorange2	F730046H10Rik	45
plum1	F730049H03Rik	38
grey60	F730050M04Rik	17
greenyellow	F730117H04Rik	11
turquoise	F730205C23Rik	1
darkgrey	F730209L11Rik	24
salmon4	F730214C23Rik	52
greenyellow	F730219E24Rik	11
darkolivegreen4	F730314M05Rik	74
blue4	F8	105
honeydew	F830001A07Rik	87
blue	F830001D05Rik	2
thistle2	F830001M15Rik	50
yellowgreen	F830002L21Rik	36
paleturquoise	F830003B07	31
mediumpurple3	F830004M19Rik	40
magenta	F830005K03Rik	9
pink	F830006F03Rik	8
saddlebrown	F830010A05Rik	29
lightcyan	F830010L01Rik	16
magenta	F830016C15Rik	9
black	F830017M08Rik	7
mediumpurple3	F830018J01Rik	40
pink	F830022J16Rik	8
coral2	F830031D20Rik	62
skyblue2	F830045P16Rik	64
paleturquoise	F830108O16Rik	31
darkgreen	F830110H03Rik	22
darkmagenta	F830111B07Rik	34
bisque4	F830115B05Rik	47
green	F830118D09Rik	5
saddlebrown	F830201C10Rik	29
darkmagenta	F830205C13Rik	34
turquoise	F830205F14Rik	1
violet	F830208N12Rik	32
brown	F830209M14Rik	3
blue	F830212C03Rik	2
lightblue4	F830212F20Rik	100
paleturquoise	F830212M06Rik	31
magenta	F830215A15Rik	9
lightpink3	F830218M08Rik	85
darkolivegreen	F830218P16Rik	33
darkorange2	F830220E19Rik	45
lightcyan1	F830221A01Rik	42
yellow	F830221E22Rik	4
yellow	F830222I21Rik	4
magenta	F830225E14Rik	9
greenyellow	F830305A12Rik	11
yellowgreen	F8a	36
brown	F9	3
coral3	F930003F07Rik	91
brown	F930007G17Rik	3
darkorange	F930021L06Rik	26
black	F930037H19Rik	7
lightcyan	F930043J12Rik	16
darkgreen	F930045I16Rik	22
cyan	F930048A06Rik	14
greenyellow	F930106M21Rik	11
plum3	F930115I02Rik	78
pink	F930119H24Rik	8
brown	Fa2h	3
lightpink3	Faah	85
darkorange2	Fabp1	45
ivory	Fabp12	43
greenyellow	Fabp2	11
plum	Fabp3	67
green	Fabp4	5
skyblue1	Fabp5	66
saddlebrown	Fabp6	29
white	Fabp7	27
brown	Fabp9	3
yellow	Fadd	4
greenyellow	Fads1	11
black	Fads2	7
yellow4	Fads3	65
red	Fads6	6
darkgreen	Faf1	22
darkslateblue	Faf2	48
paleturquoise	Fah	31
plum1	Fahd1	38
